"Step","e100-yolov5m-random-init-gtsdb - metrics/recall","e100-yolov5m-random-init-gtsdb - metrics/recall__MIN","e100-yolov5m-random-init-gtsdb - metrics/recall__MAX","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/recall","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/recall__MIN","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/recall__MAX","e100-yolov5s-coco-transfer-gtsdb - metrics/recall","e100-yolov5s-coco-transfer-gtsdb - metrics/recall__MIN","e100-yolov5s-coco-transfer-gtsdb - metrics/recall__MAX","e100-yolov5m-coco-transfer-gtsdb - metrics/recall","e100-yolov5m-coco-transfer-gtsdb - metrics/recall__MIN","e100-yolov5m-coco-transfer-gtsdb - metrics/recall__MAX"
"0","0","0","0","0.2737771418404001","0.2737771418404001","0.2737771418404001","0.003676470588235294","0.003676470588235294","0.003676470588235294","0.006652661064425769","0.006652661064425769","0.006652661064425769"
"1","0","0","0","0.43746701968848906","0.43746701968848906","0.43746701968848906","0.00326797385620915","0.00326797385620915","0.00326797385620915","0.2420945068003892","0.2420945068003892","0.2420945068003892"
"2","0","0","0","0.536668455699778","0.536668455699778","0.536668455699778","0.15217421467421466","0.15217421467421466","0.15217421467421466","0.1990698477626582","0.1990698477626582","0.1990698477626582"
"3","0","0","0","0.609875221197569","0.609875221197569","0.609875221197569","0.2615536100830219","0.2615536100830219","0.2615536100830219","0.026493930905695608","0.026493930905695608","0.026493930905695608"
"4","0","0","0","0.5309361774810635","0.5309361774810635","0.5309361774810635","0.05638053876260049","0.05638053876260049","0.05638053876260049","0.1317351800545078","0.1317351800545078","0.1317351800545078"
"5","0","0","0","0.5727345916242763","0.5727345916242763","0.5727345916242763","0.39373184005536954","0.39373184005536954","0.39373184005536954","0.08886959899271801","0.08886959899271801","0.08886959899271801"
"6","0","0","0","0.5418047217333911","0.5418047217333911","0.5418047217333911","0.18737063590004766","0.18737063590004766","0.18737063590004766","0.2690565153800448","0.2690565153800448","0.2690565153800448"
"7","0","0","0","0.5370267820749789","0.5370267820749789","0.5370267820749789","0.11666356519297695","0.11666356519297695","0.11666356519297695","0.18049529204478992","0.18049529204478992","0.18049529204478992"
"8","0","0","0","0.565472931737649","0.565472931737649","0.565472931737649","0.12288823890131081","0.12288823890131081","0.12288823890131081","0.29591503267973857","0.29591503267973857","0.29591503267973857"
"9","0","0","0","0.4894529036565971","0.4894529036565971","0.4894529036565971","0.42311773194126134","0.42311773194126134","0.42311773194126134","0.19148366611601922","0.19148366611601922","0.19148366611601922"
"10","0","0","0","0.5458819339392517","0.5458819339392517","0.5458819339392517","0.2159931785748779","0.2159931785748779","0.2159931785748779","0.24451626804567977","0.24451626804567977","0.24451626804567977"
"11","0","0","0","0.6422588410692159","0.6422588410692159","0.6422588410692159","0.18100423428080806","0.18100423428080806","0.18100423428080806","0.28584340496105204","0.28584340496105204","0.28584340496105204"
"12","0","0","0","0.5883724829185286","0.5883724829185286","0.5883724829185286","0.221683170212582","0.221683170212582","0.221683170212582","0.19909807994775314","0.19909807994775314","0.19909807994775314"
"13","0","0","0","0.5549887389809138","0.5549887389809138","0.5549887389809138","0.3316038536626772","0.3316038536626772","0.3316038536626772","0.25095420983901373","0.25095420983901373","0.25095420983901373"
"14","0","0","0","0.6051107464654407","0.6051107464654407","0.6051107464654407","0.23899606742234974","0.23899606742234974","0.23899606742234974","0.19351388125897928","0.19351388125897928","0.19351388125897928"
"15","0.04126186673764528","0.04126186673764528","0.04126186673764528","0.5620551838628227","0.5620551838628227","0.5620551838628227","0.2655382530702224","0.2655382530702224","0.2655382530702224","0.29583427650023664","0.29583427650023664","0.29583427650023664"
"16","0.013183723715730636","0.013183723715730636","0.013183723715730636","0.6111336485486145","0.6111336485486145","0.6111336485486145","0.28989229724523846","0.28989229724523846","0.28989229724523846","0.3423669467787115","0.3423669467787115","0.3423669467787115"
"17","0.05597834259166439","0.05597834259166439","0.05597834259166439","0.6648883562106708","0.6648883562106708","0.6648883562106708","0.2862807152022839","0.2862807152022839","0.2862807152022839","0.25964009576640684","0.25964009576640684","0.25964009576640684"
"18","0.023240031306640298","0.023240031306640298","0.023240031306640298","0.6727382484171613","0.6727382484171613","0.6727382484171613","0.351738481280004","0.351738481280004","0.351738481280004","0.3046582473528981","0.3046582473528981","0.3046582473528981"
"19","0.04707345710805918","0.04707345710805918","0.04707345710805918","0.6019205262927272","0.6019205262927272","0.6019205262927272","0.2906695823567593","0.2906695823567593","0.2906695823567593","0.2461502549737844","0.2461502549737844","0.2461502549737844"
"20","0.07426660709532681","0.07426660709532681","0.07426660709532681","0.5910251593821675","0.5910251593821675","0.5910251593821675","0.3162583414480948","0.3162583414480948","0.3162583414480948","0.2332668965021906","0.2332668965021906","0.2332668965021906"
"21","0.05571227359722169","0.05571227359722169","0.05571227359722169","0.6816805019459966","0.6816805019459966","0.6816805019459966","0.26962153416401785","0.26962153416401785","0.26962153416401785","0.27264418587947997","0.27264418587947997","0.27264418587947997"
"22","0.05331498086688398","0.05331498086688398","0.05331498086688398","0.6160194679309949","0.6160194679309949","0.6160194679309949","0.2526175122580352","0.2526175122580352","0.2526175122580352","0.33721801421147823","0.33721801421147823","0.33721801421147823"
"23","0.08339353841083944","0.08339353841083944","0.08339353841083944","0.6610877016530969","0.6610877016530969","0.6610877016530969","0.23015884419393193","0.23015884419393193","0.23015884419393193","0.3044902382705151","0.3044902382705151","0.3044902382705151"
"24","0.10835250389748659","0.10835250389748659","0.10835250389748659","0.715412887861823","0.715412887861823","0.715412887861823","0.25524215362493285","0.25524215362493285","0.25524215362493285","0.28482726423902893","0.28482726423902893","0.28482726423902893"
"25","0.12361845190564914","0.12361845190564914","0.12361845190564914","0.657426236375699","0.657426236375699","0.657426236375699","0.28110465316347666","0.28110465316347666","0.28110465316347666","0.3928338001867414","0.3928338001867414","0.3928338001867414"
"26","0.07485398993570228","0.07485398993570228","0.07485398993570228","0.6546215071559355","0.6546215071559355","0.6546215071559355","0.2792950513538749","0.2792950513538749","0.2792950513538749","0.3885381179498827","0.3885381179498827","0.3885381179498827"
"27","0.3301759082900951","0.3301759082900951","0.3301759082900951","0.6106990814192733","0.6106990814192733","0.6106990814192733","0.3536757871316696","0.3536757871316696","0.3536757871316696","0.30536881419234363","0.30536881419234363","0.30536881419234363"
"28","0.08049062385135049","0.08049062385135049","0.08049062385135049","0.6151924302118682","0.6151924302118682","0.6151924302118682","0.3088252818644976","0.3088252818644976","0.3088252818644976","0.42948179271708686","0.42948179271708686","0.42948179271708686"
"29","0.10663626310252607","0.10663626310252607","0.10663626310252607","0.6080696685428353","0.6080696685428353","0.6080696685428353","0.269140989729225","0.269140989729225","0.269140989729225","0.34136321195144725","0.34136321195144725","0.34136321195144725"
"30","0.20070338398625595","0.20070338398625595","0.20070338398625595","0.6712388782755261","0.6712388782755261","0.6712388782755261","0.274859943977591","0.274859943977591","0.274859943977591","0.3834251219812064","0.3834251219812064","0.3834251219812064"
"31","0.23056918193404163","0.23056918193404163","0.23056918193404163","0.6402610982696432","0.6402610982696432","0.6402610982696432","0.4167126152716362","0.4167126152716362","0.4167126152716362","0.237538605185664","0.237538605185664","0.237538605185664"
"32","0.43329372082255585","0.43329372082255585","0.43329372082255585","0.65212222084881","0.65212222084881","0.65212222084881","0.2914206116820496","0.2914206116820496","0.2914206116820496","0.346685767209503","0.346685767209503","0.346685767209503"
"33","0.35443318215809566","0.35443318215809566","0.35443318215809566","0.6023209900198002","0.6023209900198002","0.6023209900198002","0.33187247599012304","0.33187247599012304","0.33187247599012304","0.313361585420409","0.313361585420409","0.313361585420409"
"34","0.3815388907516935","0.3815388907516935","0.3815388907516935","0.6970029269184164","0.6970029269184164","0.6970029269184164","0.3536284393637335","0.3536284393637335","0.3536284393637335","0.3275430367342132","0.3275430367342132","0.3275430367342132"
"35","0.25626434172426105","0.25626434172426105","0.25626434172426105","0.699496639007984","0.699496639007984","0.699496639007984","0.29410332367848707","0.29410332367848707","0.29410332367848707","0.27436785281059883","0.27436785281059883","0.27436785281059883"
"36","0.3009162690174801","0.3009162690174801","0.3009162690174801","0.6967564395912875","0.6967564395912875","0.6967564395912875","0.30619827949469686","0.30619827949469686","0.30619827949469686","0.3207490646349026","0.3207490646349026","0.3207490646349026"
"37","0.34187963316663816","0.34187963316663816","0.34187963316663816","0.6060436979623418","0.6060436979623418","0.6060436979623418","0.2767273576097105","0.2767273576097105","0.2767273576097105","0.33587357813364005","0.33587357813364005","0.33587357813364005"
"38","0.4735828473717747","0.4735828473717747","0.4735828473717747","0.6707454125335655","0.6707454125335655","0.6707454125335655","0.3208004715191079","0.3208004715191079","0.3208004715191079","0.3472689075630252","0.3472689075630252","0.3472689075630252"
"39","0.17333671572425902","0.17333671572425902","0.17333671572425902","0.6055348042761091","0.6055348042761091","0.6055348042761091","0.24149704541861408","0.24149704541861408","0.24149704541861408","0.3077545584081532","0.3077545584081532","0.3077545584081532"
"40","0.3895028918601583","0.3895028918601583","0.3895028918601583","0.724990226663381","0.724990226663381","0.724990226663381","0.3114254543993106","0.3114254543993106","0.3114254543993106","0.37757932359929125","0.37757932359929125","0.37757932359929125"
"41","0.3748865487545239","0.3748865487545239","0.3748865487545239","0.6415118954536589","0.6415118954536589","0.6415118954536589","0.3084725991588737","0.3084725991588737","0.3084725991588737","0.33932665825756403","0.33932665825756403","0.33932665825756403"
"42","0.36101245198587567","0.36101245198587567","0.36101245198587567","0.7090102281308803","0.7090102281308803","0.7090102281308803","0.3015783841455259","0.3015783841455259","0.3015783841455259","0.3043495915386904","0.3043495915386904","0.3043495915386904"
"43","0.3119244941909302","0.3119244941909302","0.3119244941909302","0.7048463766017891","0.7048463766017891","0.7048463766017891","0.33149096575567166","0.33149096575567166","0.33149096575567166","0.3310305726542397","0.3310305726542397","0.3310305726542397"
"44","0.3963062024480709","0.3963062024480709","0.3963062024480709","0.6659379344371283","0.6659379344371283","0.6659379344371283","0.30554836264492785","0.30554836264492785","0.30554836264492785","0.3604934833459577","0.3604934833459577","0.3604934833459577"
"45","0.3425361742768675","0.3425361742768675","0.3425361742768675","0.7181816777270185","0.7181816777270185","0.7181816777270185","0.3287193777678206","0.3287193777678206","0.3287193777678206","0.3265463354635127","0.3265463354635127","0.3265463354635127"
"46","0.1957583218396367","0.1957583218396367","0.1957583218396367","0.6681932050692326","0.6681932050692326","0.6681932050692326","0.24182020392427633","0.24182020392427633","0.24182020392427633","0.25935700876564277","0.25935700876564277","0.25935700876564277"
"47","0.48683350962762734","0.48683350962762734","0.48683350962762734","0.6541032952719169","0.6541032952719169","0.6541032952719169","0.2637721755368814","0.2637721755368814","0.2637721755368814","0.23565431399872594","0.23565431399872594","0.23565431399872594"
"48","0.4412802883391119","0.4412802883391119","0.4412802883391119","0.7474262722157","0.7474262722157","0.7474262722157","0.30179803202780514","0.30179803202780514","0.30179803202780514","0.23653836149487256","0.23653836149487256","0.23653836149487256"
"49","0.33784747978087076","0.33784747978087076","0.33784747978087076","0.7430891606040623","0.7430891606040623","0.7430891606040623","0.3051110059279994","0.3051110059279994","0.3051110059279994","0.3158064105056494","0.3158064105056494","0.3158064105056494"
"50","0.1635992560104669","0.1635992560104669","0.1635992560104669","0.7734143565851025","0.7734143565851025","0.7734143565851025","0.3000500702478104","0.3000500702478104","0.3000500702478104","0.3448559056652659","0.3448559056652659","0.3448559056652659"
"51","0.37509234049494045","0.37509234049494045","0.37509234049494045","0.7406032409316604","0.7406032409316604","0.7406032409316604","0.328874883286648","0.328874883286648","0.328874883286648","0.25904024978099055","0.25904024978099055","0.25904024978099055"
"52","0.3826136972859388","0.3826136972859388","0.3826136972859388","0.6822830887089353","0.6822830887089353","0.6822830887089353","0.28569196737426905","0.28569196737426905","0.28569196737426905","0.558678426325485","0.558678426325485","0.558678426325485"
"53","0.34312345334244804","0.34312345334244804","0.34312345334244804","0.7369757383639888","0.7369757383639888","0.7369757383639888","0.2984401418224948","0.2984401418224948","0.2984401418224948","0.2940194740522622","0.2940194740522622","0.2940194740522622"
"54","0.3559827554353864","0.3559827554353864","0.3559827554353864","0.7412632847977988","0.7412632847977988","0.7412632847977988","0.26360134632975685","0.26360134632975685","0.26360134632975685","0.5572391193872055","0.5572391193872055","0.5572391193872055"
"55","0.32814179764871804","0.32814179764871804","0.32814179764871804","0.6819295221391656","0.6819295221391656","0.6819295221391656","0.31797385620915036","0.31797385620915036","0.31797385620915036","0.29659205208461054","0.29659205208461054","0.29659205208461054"
"56","0.37230961080442043","0.37230961080442043","0.37230961080442043","0.6573810052251844","0.6573810052251844","0.6573810052251844","0.3315944026531221","0.3315944026531221","0.3315944026531221","0.5581056655422062","0.5581056655422062","0.5581056655422062"
"57","0.3347246903569737","0.3347246903569737","0.3347246903569737","0.6470084605720917","0.6470084605720917","0.6470084605720917","0.34206349206349207","0.34206349206349207","0.34206349206349207","0.477903008050067","0.477903008050067","0.477903008050067"
"58","0.21561347527322156","0.21561347527322156","0.21561347527322156","0.6932964231531921","0.6932964231531921","0.6932964231531921","0.37936719970589683","0.37936719970589683","0.37936719970589683","0.49542325672823784","0.49542325672823784","0.49542325672823784"
"59","0.32375199276825456","0.32375199276825456","0.32375199276825456","0.6945451012704121","0.6945451012704121","0.6945451012704121","0.38139589169000937","0.38139589169000937","0.38139589169000937","0.4511802041213806","0.4511802041213806","0.4511802041213806"
"60","0.23529635417121925","0.23529635417121925","0.23529635417121925","0.702862682210083","0.702862682210083","0.702862682210083","0.3148729471782494","0.3148729471782494","0.3148729471782494","0.430425349160805","0.430425349160805","0.430425349160805"
"61","0.3572298113489443","0.3572298113489443","0.3572298113489443","0.712796944551891","0.712796944551891","0.712796944551891","0.3786240218300762","0.3786240218300762","0.3786240218300762","0.4453865109093867","0.4453865109093867","0.4453865109093867"
"62","0.3533836614164206","0.3533836614164206","0.3533836614164206","0.7060457537704893","0.7060457537704893","0.7060457537704893","0.2930384655196576","0.2930384655196576","0.2930384655196576","0.46022800734129704","0.46022800734129704","0.46022800734129704"
"63","0.336195993094782","0.336195993094782","0.336195993094782","0.7027709806753419","0.7027709806753419","0.7027709806753419","0.25876517067601296","0.25876517067601296","0.25876517067601296","0.3756779683250272","0.3756779683250272","0.3756779683250272"
"64","0.33284253788648005","0.33284253788648005","0.33284253788648005","0.6896856063405019","0.6896856063405019","0.6896856063405019","0.3558356676003735","0.3558356676003735","0.3558356676003735","0.3716541732546669","0.3716541732546669","0.3716541732546669"
"65","0.21893463185832238","0.21893463185832238","0.21893463185832238","0.7037075263536436","0.7037075263536436","0.7037075263536436","0.264764136013566","0.264764136013566","0.264764136013566","0.42854134166504637","0.42854134166504637","0.42854134166504637"
"66","0.32617569189377416","0.32617569189377416","0.32617569189377416","0.7649102393080218","0.7649102393080218","0.7649102393080218","0.2592093518564107","0.2592093518564107","0.2592093518564107","0.39960397095828504","0.39960397095828504","0.39960397095828504"
"67","0.3420449785220926","0.3420449785220926","0.3420449785220926","0.6712261146357793","0.6712261146357793","0.6712261146357793","0.22414085365363176","0.22414085365363176","0.22414085365363176","0.44993227921569684","0.44993227921569684","0.44993227921569684"
"68","0.3613790524211675","0.3613790524211675","0.3613790524211675","0.739601061631054","0.739601061631054","0.739601061631054","0.23481071733161718","0.23481071733161718","0.23481071733161718","0.3798517092591047","0.3798517092591047","0.3798517092591047"
"69","0.4588694652065395","0.4588694652065395","0.4588694652065395","0.7298707413411204","0.7298707413411204","0.7298707413411204","0.2572522996633382","0.2572522996633382","0.2572522996633382","0.36678429443952315","0.36678429443952315","0.36678429443952315"
"70","0.23854365256458573","0.23854365256458573","0.23854365256458573","0.7326344913707291","0.7326344913707291","0.7326344913707291","0.4005349762134284","0.4005349762134284","0.4005349762134284","0.3835504811200365","0.3835504811200365","0.3835504811200365"
"71","0.32169451800100846","0.32169451800100846","0.32169451800100846","0.7259137413087599","0.7259137413087599","0.7259137413087599","0.44472173922880165","0.44472173922880165","0.44472173922880165","0.427912380650913","0.427912380650913","0.427912380650913"
"72","0.4498634295347098","0.4498634295347098","0.4498634295347098","0.7316543212682919","0.7316543212682919","0.7316543212682919","0.38389909225111085","0.38389909225111085","0.38389909225111085","0.41558519063876","0.41558519063876","0.41558519063876"
"73","0.4246743147045915","0.4246743147045915","0.4246743147045915","0.7332089347828159","0.7332089347828159","0.7332089347828159","0.3855533810075122","0.3855533810075122","0.3855533810075122","0.4160156394987401","0.4160156394987401","0.4160156394987401"
"74","0.42367677737487425","0.42367677737487425","0.42367677737487425","0.7329070231594326","0.7329070231594326","0.7329070231594326","0.37344585240122763","0.37344585240122763","0.37344585240122763","0.40884913577928284","0.40884913577928284","0.40884913577928284"
"75","0.36792586738520994","0.36792586738520994","0.36792586738520994","0.6649483089399023","0.6649483089399023","0.6649483089399023","0.372830485948133","0.372830485948133","0.372830485948133","0.42084792740937366","0.42084792740937366","0.42084792740937366"
"76","0.3536950553235563","0.3536950553235563","0.3536950553235563","0.7779808690415475","0.7779808690415475","0.7779808690415475","0.38178806107194857","0.38178806107194857","0.38178806107194857","0.4016408411639755","0.4016408411639755","0.4016408411639755"
"77","0.4068108881041407","0.4068108881041407","0.4068108881041407","0.7764371349598332","0.7764371349598332","0.7764371349598332","0.37735041979182476","0.37735041979182476","0.37735041979182476","0.3749521576069146","0.3749521576069146","0.3749521576069146"
"78","0.4509920629350517","0.4509920629350517","0.4509920629350517","0.7733631794398965","0.7733631794398965","0.7733631794398965","0.38786453633181056","0.38786453633181056","0.38786453633181056","0.4080009143244437","0.4080009143244437","0.4080009143244437"
"79","0.45791665082322514","0.45791665082322514","0.45791665082322514","0.7202087664574506","0.7202087664574506","0.7202087664574506","0.38773117459716677","0.38773117459716677","0.38773117459716677","0.4389105474269916","0.4389105474269916","0.4389105474269916"
"80","0.4678215743310899","0.4678215743310899","0.4678215743310899","0.714600888035192","0.714600888035192","0.714600888035192","0.39798556946160435","0.39798556946160435","0.39798556946160435","0.4532114127702363","0.4532114127702363","0.4532114127702363"
"81","0.3923911041307275","0.3923911041307275","0.3923911041307275","0.7035682290659833","0.7035682290659833","0.7035682290659833","0.38452380952380955","0.38452380952380955","0.38452380952380955","0.3835792791396707","0.3835792791396707","0.3835792791396707"
"82","0.4215567448698937","0.4215567448698937","0.4215567448698937","0.7062868353889761","0.7062868353889761","0.7062868353889761","0.3859559228911453","0.3859559228911453","0.3859559228911453","0.3970780121820322","0.3970780121820322","0.3970780121820322"
"83","0.42884634169236246","0.42884634169236246","0.42884634169236246","0.7112871312664903","0.7112871312664903","0.7112871312664903","0.3682703386169086","0.3682703386169086","0.3682703386169086","0.3728421099573774","0.3728421099573774","0.3728421099573774"
"84","0.3927136367583952","0.3927136367583952","0.3927136367583952","0.7233487846270518","0.7233487846270518","0.7233487846270518","0.3612953046776577","0.3612953046776577","0.3612953046776577","0.40908248167863553","0.40908248167863553","0.40908248167863553"
"85","0.4172165243985","0.4172165243985","0.4172165243985","0.7130506432368909","0.7130506432368909","0.7130506432368909","0.3647737227322003","0.3647737227322003","0.3647737227322003","0.44107377300654615","0.44107377300654615","0.44107377300654615"
"86","0.43096418431626043","0.43096418431626043","0.43096418431626043","0.7363522483125975","0.7363522483125975","0.7363522483125975","0.3466637937226173","0.3466637937226173","0.3466637937226173","0.4419418582807683","0.4419418582807683","0.4419418582807683"
"87","0.38362615573544057","0.38362615573544057","0.38362615573544057","0.7359655009306643","0.7359655009306643","0.7359655009306643","0.3416055657022485","0.3416055657022485","0.3416055657022485","0.3500341526818804","0.3500341526818804","0.3500341526818804"
"88","0.39952564736301754","0.39952564736301754","0.39952564736301754","0.7325125973476828","0.7325125973476828","0.7325125973476828","0.3489622596622507","0.3489622596622507","0.3489622596622507","0.34475673278363494","0.34475673278363494","0.34475673278363494"
"89","0.39551779592869557","0.39551779592869557","0.39551779592869557","0.7389682331588174","0.7389682331588174","0.7389682331588174","0.3482894681618616","0.3482894681618616","0.3482894681618616","0.3571699532676057","0.3571699532676057","0.3571699532676057"
"90","0.39151027552123285","0.39151027552123285","0.39151027552123285","0.728617424894993","0.728617424894993","0.728617424894993","0.34818703282755575","0.34818703282755575","0.34818703282755575","0.3599132872161939","0.3599132872161939","0.3599132872161939"
"91","0.39485524106777214","0.39485524106777214","0.39485524106777214","0.7371934862986879","0.7371934862986879","0.7371934862986879","0.35569434484441437","0.35569434484441437","0.35569434484441437","0.3614112029070401","0.3614112029070401","0.3614112029070401"
"92","0.3885991369901405","0.3885991369901405","0.3885991369901405","0.7763654939466493","0.7763654939466493","0.7763654939466493","0.34711141328788386","0.34711141328788386","0.34711141328788386","0.3536771374189675","0.3536771374189675","0.3536771374189675"
"93","0.4070678497377039","0.4070678497377039","0.4070678497377039","0.7405016681129994","0.7405016681129994","0.7405016681129994","0.305472424416131","0.305472424416131","0.305472424416131","0.3898917963277772","0.3898917963277772","0.3898917963277772"
"94","0.40991679957284743","0.40991679957284743","0.40991679957284743","0.7324774694751754","0.7324774694751754","0.7324774694751754","0.31329784589588516","0.31329784589588516","0.31329784589588516","0.3850093645728321","0.3850093645728321","0.3850093645728321"
"95","0.41880909603660466","0.41880909603660466","0.41880909603660466","0.7299120000645565","0.7299120000645565","0.7299120000645565","0.31962334455160857","0.31962334455160857","0.31962334455160857","0.4127883860019786","0.4127883860019786","0.4127883860019786"
"96","0.4198807986169279","0.4198807986169279","0.4198807986169279","0.729568934981387","0.729568934981387","0.729568934981387","0.32331873548407025","0.32331873548407025","0.32331873548407025","0.3985183833763096","0.3985183833763096","0.3985183833763096"
"97","0.4369895079212613","0.4369895079212613","0.4369895079212613","0.7212039099611802","0.7212039099611802","0.7212039099611802","0.31470274627824274","0.31470274627824274","0.31470274627824274","0.40387519343238504","0.40387519343238504","0.40387519343238504"
"98","0.4399505073409244","0.4399505073409244","0.4399505073409244","0.7135796786371514","0.7135796786371514","0.7135796786371514","0.3074917252477165","0.3074917252477165","0.3074917252477165","0.39536590387047577","0.39536590387047577","0.39536590387047577"
"99","0.4361003524346149","0.4361003524346149","0.4361003524346149","0.7238497200812717","0.7238497200812717","0.7238497200812717","0.3276096810843062","0.3276096810843062","0.3276096810843062","0.3898400563393232","0.3898400563393232","0.3898400563393232"
"100","0.3944494251026994","0.3944494251026994","0.3944494251026994","0.7299157074933172","0.7299157074933172","0.7299157074933172","0.3256549950994395","0.3256549950994395","0.3256549950994395","0.3613464268031338","0.3613464268031338","0.3613464268031338"