"Step","faster_r-cnn_resnet50_fpn_GTSRB-Transfer_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_resnet50_fpn_GTSRB-Transfer_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_resnet50_fpn_GTSRB-Transfer_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_resnet50_fpn_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_resnet50_fpn_random-init_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_resnet50_fpn_random-init_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_resnet50_fpn_random-init_GTSRB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_resnet50_fpn_random_init_train_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_resnet50_fpn_random_init_train_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_resnet50_fpn_random_init_train_GTSDB_10Epochs - AP_IoU=0.50__MAX"
"1","0","0","0","0.9163968485575209","0.9163968485575209","0.9163968485575209","0.005440221441498988","0.005440221441498988","0.005440221441498988","0.8867420487244837","0.8867420487244837","0.8867420487244837","0","0","0"
"3","0","0","0","0.9986107090270898","0.9986107090270898","0.9986107090270898","0.07326494218246912","0.07326494218246912","0.07326494218246912","0.9979565233290756","0.9979565233290756","0.9979565233290756","0","0","0"
"5","0.031114371091617802","0.031114371091617802","0.031114371091617802","0.9991188115333082","0.9991188115333082","0.9991188115333082","0.12939804146887987","0.12939804146887987","0.12939804146887987","0.9991789703764066","0.9991789703764066","0.9991789703764066","0","0","0"
"7","0.032313867318693186","0.032313867318693186","0.032313867318693186","0.9996735572791128","0.9996735572791128","0.9996735572791128","0.1319489876319686","0.1319489876319686","0.1319489876319686","0.9999577232195631","0.9999577232195631","0.9999577232195631","0","0","0"
"9","0.037618046482853135","0.037618046482853135","0.037618046482853135","0.9997073205822772","0.9997073205822772","0.9997073205822772","0.15737638149164956","0.15737638149164956","0.15737638149164956","0.9999700321909091","0.9999700321909091","0.9999700321909091","0.0006387735547748323","0.0006387735547748323","0.0006387735547748323"
"11","0.05587205967860848","0.05587205967860848","0.05587205967860848","0.9997340972678781","0.9997340972678781","0.9997340972678781","0.1818608558948127","0.1818608558948127","0.1818608558948127","0.9999841540504567","0.9999841540504567","0.9999841540504567","0.0009581603321622484","0.0009581603321622484","0.0009581603321622484"
"13","0.05530994001289623","0.05530994001289623","0.05530994001289623","0.9997208023979952","0.9997208023979952","0.9997208023979952","0.18260233495320363","0.18260233495320363","0.18260233495320363","0.9999889564115734","0.9999889564115734","0.9999889564115734","0.0009581603321622484","0.0009581603321622484","0.0009581603321622484"
"15","0.05884217967672963","0.05884217967672963","0.05884217967672963","0.999724633565951","0.999724633565951","0.999724633565951","0.18093300561232267","0.18093300561232267","0.18093300561232267","0.9999901743350995","0.9999901743350995","0.9999901743350995","0.0009581603321622484","0.0009581603321622484","0.0009581603321622484"
"17","0.057783429915545206","0.057783429915545206","0.057783429915545206","0.9997222924935517","0.9997222924935517","0.9997222924935517","0.18369419809009707","0.18369419809009707","0.18369419809009707","0.9999894398395535","0.9999894398395535","0.9999894398395535","0.0009581603321622484","0.0009581603321622484","0.0009581603321622484"
"19","0.05796634991329054","0.05796634991329054","0.05796634991329054","0.9997249950238769","0.9997249950238769","0.9997249950238769","0.1848720239106239","0.1848720239106239","0.1848720239106239","0.9999913127812076","0.9999913127812076","0.9999913127812076","0.0009581603321622484","0.0009581603321622484","0.0009581603321622484"